x y z
4 1 0
3 2 0
4 2 0
3 3 0
4 3 0
3 4 0
4 4 0
5 4 0
8 4 0
10 4 0
11 4 0
12 4 0
13 4 0
2 5 0
3 5 0
4 5 0
5 5 0 
6 5 0
8 5 0
9 5 0
10 5 0
11 5 0
12 5 0
2 6 0
3 6 0
4 6 0
5 6 0
6 6 0
7 6 0
8 6 0
9 6 0
10 6 0
2 7 0
3 7 0
4 7 0
5 7 0
6 7 0
7 7 0
8 7 0
9 7 0
10 7 0
1 8 0
2 8 0
3 8 0
4 8 0
5 8 0
6 8 0
7 8 0
8 8 0
9 8 0
10 8 0
11 8 0
12 8 0
13 8 0
3 9 0
4 9 0
5 9 0
6 9 0
7 9 0
8 9 0
9 9 0
10 9 0
11 9 0
12 9 0
13 9 0
14 9 0
3 10 0
4 10 0
5 10 0
6 10 0
7 10 0
8 10 0
9 10 0
10 10 0
11 10 0
12 10 0
13 10 0
3 11 0
4 11 0
5 11 0
12 11 0
3 12 0
4 12 0
5 12 0
