x,y,z
9,46,36
10,44,35
10,44,36
10,44,37
10,44,38
10,44,39
10,45,35
10,45,36
10,45,37
10,45,38
10,45,39
10,45,40
10,46,34
10,46,35
10,46,36
10,46,37
10,46,38
10,46,39
10,46,40
10,46,41
10,46,42
10,46,43
10,46,44
10,47,34
10,47,35
10,47,36
10,47,37
10,47,38
10,47,39
10,47,40
10,47,41
10,47,42
10,47,43
10,47,44
10,47,45
10,47,46
10,48,34
10,48,35
10,48,36
10,48,37
10,48,38
10,48,39
10,48,40
10,48,41
10,48,42
10,48,43
10,48,44
10,48,45
10,48,46
10,49,34
10,49,35
10,49,36
10,49,37
10,49,38
10,49,39
10,49,40
10,49,41
10,49,42
10,49,43
10,49,44
10,49,45
10,50,33
10,50,34
10,50,35
10,50,36
10,50,37
10,50,39
10,50,40
10,50,41
10,50,42
10,50,43
10,50,44
10,51,33
10,51,34
10,51,35
10,51,36
10,51,39
10,51,40
10,51,41
10,51,42
10,51,43
10,51,44
10,52,33
10,52,34
10,52,35
10,52,38
10,52,39
10,52,40
10,52,41
10,52,42
10,52,43
10,53,34
10,53,35
10,53,37
10,53,38
10,53,39
10,53,40
10,53,41
10,53,42
10,54,37
10,54,38
10,54,39
10,54,40
10,54,41
10,55,37
10,55,38
10,55,39
10,55,40
10,55,41
10,56,38
10,56,39
10,56,40
11,41,42
11,41,43
11,41,44
11,41,45
11,41,46
11,42,39
11,42,40
11,42,41
11,42,42
11,42,43
11,42,44
11,42,45
11,42,46
11,43,35
11,43,36
11,43,37
11,43,38
11,43,39
11,43,40
11,43,41
11,43,48
11,43,49
11,44,34
11,44,35
11,44,36
11,44,37
11,44,38
11,44,39
11,44,40
11,44,41
11,44,42
11,44,47
11,44,48
11,44,49
11,44,50
11,44,51
11,45,34
11,45,35
11,45,36
11,45,37
11,45,38
11,45,39
11,45,40
11,45,41
11,45,42
11,45,43
11,45,47
11,45,48
11,45,49
11,45,50
11,45,51
11,46,34
11,46,35
11,46,36
11,46,37
11,46,38
11,46,39
11,46,40
11,46,41
11,46,42
11,46,43
11,46,44
11,46,45
11,46,46
11,46,47
11,46,48
11,46,49
11,46,50
11,46,51
11,47,33
11,47,34
11,47,35
11,47,36
11,47,37
11,47,38
11,47,39
11,47,40
11,47,41
11,47,42
11,47,43
11,47,44
11,47,45
11,47,46
11,47,47
11,47,48
11,47,49
11,48,33
11,48,34
11,48,35
11,48,36
11,48,37
11,48,38
11,48,39
11,48,40
11,48,41
11,48,42
11,48,43
11,48,44
11,48,45
11,48,46
11,48,47
11,49,33
11,49,34
11,49,35
11,49,36
11,49,37
11,49,38
11,49,39
11,49,40
11,49,41
11,49,42
11,49,43
11,49,44
11,49,45
11,49,46
11,50,32
11,50,33
11,50,34
11,50,35
11,50,36
11,50,37
11,50,38
11,50,39
11,50,40
11,50,41
11,50,42
11,50,43
11,50,44
11,50,45
11,51,32
11,51,33
11,51,34
11,51,35
11,51,36
11,51,37
11,51,38
11,51,39
11,51,40
11,51,41
11,51,42
11,51,43
11,51,44
11,51,45
11,51,46
11,52,33
11,52,34
11,52,35
11,52,36
11,52,37
11,52,38
11,52,39
11,52,40
11,52,41
11,52,42
11,52,43
11,52,44
11,52,45
11,52,46
11,53,33
11,53,34
11,53,35
11,53,36
11,53,37
11,53,38
11,53,39
11,53,40
11,53,41
11,53,42
11,53,43
11,53,44
11,53,45
11,53,46
11,54,34
11,54,35
11,54,36
11,54,37
11,54,38
11,54,39
11,54,40
11,54,41
11,54,42
11,54,43
11,54,44
11,54,45
11,55,37
11,55,38
11,55,39
11,55,40
11,55,41
11,55,42
11,55,43
11,55,44
11,56,38
11,56,39
11,56,40
11,56,41
11,56,42
11,57,38
11,57,39
11,57,40
11,57,41
11,57,42
11,58,37
11,58,38
11,58,39
11,58,40
11,58,41
11,59,37
11,59,38
11,59,39
11,59,40
11,60,37
11,60,38
12,40,40
12,40,41
12,40,42
12,40,43
12,40,44
12,40,45
12,41,37
12,41,38
12,41,39
12,41,40
12,41,41
12,41,42
12,41,43
12,41,44
12,41,45
12,41,46
12,41,47
12,41,48
12,42,36
12,42,37
12,42,38
12,42,39
12,42,40
12,42,41
12,42,42
12,42,43
12,42,44
12,42,45
12,42,46
12,42,47
12,42,48
12,42,49
12,42,50
12,42,51
12,43,35
12,43,36
12,43,37
12,43,38
12,43,39
12,43,40
12,43,41
12,43,42
12,43,43
12,43,44
12,43,45
12,43,46
12,43,47
12,43,48
12,43,49
12,43,50
12,43,51
12,43,52
12,43,53
12,43,54
12,43,55
12,43,56
12,44,34
12,44,35
12,44,36
12,44,37
12,44,38
12,44,39
12,44,40
12,44,41
12,44,42
12,44,43
12,44,44
12,44,45
12,44,46
12,44,47
12,44,48
12,44,49
12,44,50
12,44,51
12,44,52
12,44,53
12,44,54
12,44,55
12,44,56
12,45,34
12,45,35
12,45,36
12,45,37
12,45,38
12,45,39
12,45,40
12,45,41
12,45,42
12,45,43
12,45,44
12,45,45
12,45,46
12,45,47
12,45,48
12,45,49
12,45,50
12,45,51
12,45,52
12,45,53
12,45,54
12,45,55
12,45,56
12,46,34
12,46,35
12,46,36
12,46,37
12,46,38
12,46,39
12,46,40
12,46,41
12,46,42
12,46,43
12,46,44
12,46,45
12,46,46
12,46,47
12,46,48
12,46,49
12,46,50
12,46,51
12,46,52
12,46,53
12,46,54
12,46,55
12,46,56
12,47,33
12,47,34
12,47,35
12,47,36
12,47,37
12,47,38
12,47,39
12,47,40
12,47,41
12,47,42
12,47,43
12,47,44
12,47,45
12,47,46
12,47,47
12,47,48
12,47,49
12,47,50
12,47,51
12,47,52
12,47,53
12,47,54
12,47,55
12,48,33
12,48,34
12,48,35
12,48,36
12,48,37
12,48,38
12,48,39
12,48,40
12,48,41
12,48,42
12,48,43
12,48,44
12,48,45
12,48,46
12,48,47
12,48,48
12,49,33
12,49,34
12,49,35
12,49,36
12,49,37
12,49,38
12,49,39
12,49,40
12,49,41
12,49,42
12,49,43
12,49,44
12,49,45
12,49,46
12,50,33
12,50,34
12,50,35
12,50,36
12,50,37
12,50,38
12,50,39
12,50,40
12,50,41
12,50,42
12,50,43
12,50,44
12,50,45
12,50,46
12,51,32
12,51,33
12,51,34
12,51,35
12,51,36
12,51,37
12,51,38
12,51,39
12,51,40
12,51,41
12,51,42
12,51,43
12,51,44
12,51,45
12,51,46
12,52,33
12,52,34
12,52,35
12,52,36
12,52,37
12,52,38
12,52,39
12,52,40
12,52,41
12,52,42
12,52,43
12,52,44
12,52,45
12,52,46
12,53,34
12,53,35
12,53,36
12,53,37
12,53,38
12,53,39
12,53,40
12,53,41
12,53,42
12,53,43
12,53,44
12,53,45
12,53,46
12,54,34
12,54,35
12,54,36
12,54,37
12,54,38
12,54,39
12,54,40
12,54,41
12,54,42
12,54,43
12,54,44
12,54,45
12,54,46
12,55,37
12,55,38
12,55,39
12,55,40
12,55,41
12,55,42
12,55,43
12,55,44
12,55,45
12,56,38
12,56,39
12,56,40
12,56,41
12,56,42
12,56,43
12,57,38
12,57,39
12,57,40
12,57,41
12,57,42
12,58,37
12,58,38
12,58,39
12,58,40
12,58,41
12,59,36
12,59,37
12,59,38
12,59,39
12,60,36
12,60,37
12,60,38
12,60,39
12,61,37
12,61,38
12,62,37
12,62,38
12,62,39
12,63,37
13,39,40
13,39,41
13,40,37
13,40,38
13,40,39
13,40,40
13,40,41
13,40,42
13,40,43
13,40,44
13,40,47
13,40,48
13,40,49
13,40,54
13,41,36
13,41,37
13,41,38
13,41,39
13,41,40
13,41,41
13,41,42
13,41,43
13,41,44
13,41,45
13,41,46
13,41,47
13,41,48
13,41,49
13,41,50
13,41,51
13,41,52
13,41,53
13,41,54
13,41,55
13,41,56
13,42,36
13,42,37
13,42,38
13,42,39
13,42,40
13,42,41
13,42,42
13,42,43
13,42,44
13,42,45
13,42,46
13,42,47
13,42,48
13,42,49
13,42,50
13,42,51
13,42,52
13,42,53
13,42,54
13,42,55
13,42,56
13,43,35
13,43,36
13,43,37
13,43,38
13,43,39
13,43,40
13,43,41
13,43,42
13,43,43
13,43,44
13,43,45
13,43,46
13,43,47
13,43,48
13,43,49
13,43,50
13,43,51
13,43,52
13,43,53
13,43,54
13,43,55
13,43,56
13,43,57
13,44,35
13,44,36
13,44,37
13,44,38
13,44,39
13,44,40
13,44,41
13,44,42
13,44,43
13,44,44
13,44,45
13,44,46
13,44,47
13,44,48
13,44,49
13,44,50
13,44,51
13,44,52
13,44,53
13,44,54
13,44,55
13,44,56
13,44,57
13,45,34
13,45,35
13,45,36
13,45,37
13,45,38
13,45,39
13,45,40
13,45,41
13,45,42
13,45,43
13,45,44
13,45,45
13,45,46
13,45,47
13,45,48
13,45,49
13,45,50
13,45,51
13,45,52
13,45,53
13,45,54
13,45,55
13,45,56
13,45,57
13,46,34
13,46,35
13,46,36
13,46,37
13,46,38
13,46,39
13,46,40
13,46,41
13,46,42
13,46,43
13,46,44
13,46,45
13,46,46
13,46,47
13,46,48
13,46,49
13,46,50
13,46,51
13,46,52
13,46,53
13,46,54
13,46,55
13,46,56
13,46,57
13,47,33
13,47,34
13,47,35
13,47,36
13,47,37
13,47,38
13,47,39
13,47,40
13,47,41
13,47,42
13,47,43
13,47,44
13,47,45
13,47,46
13,47,47
13,47,48
13,47,49
13,47,50
13,47,51
13,47,52
13,47,53
13,47,54
13,47,55
13,47,56
13,47,57
13,48,33
13,48,34
13,48,35
13,48,36
13,48,37
13,48,38
13,48,39
13,48,40
13,48,41
13,48,42
13,48,43
13,48,44
13,48,45
13,48,46
13,48,47
13,48,48
13,48,49
13,49,33
13,49,34
13,49,35
13,49,36
13,49,37
13,49,38
13,49,39
13,49,40
13,49,41
13,49,42
13,49,43
13,49,44
13,49,45
13,50,32
13,50,33
13,50,34
13,50,35
13,50,36
13,50,37
13,50,38
13,50,39
13,50,40
13,50,41
13,50,42
13,50,43
13,50,44
13,50,45
13,51,33
13,51,34
13,51,35
13,51,36
13,51,37
13,51,38
13,51,39
13,51,40
13,51,41
13,51,42
13,51,43
13,51,44
13,51,45
13,51,46
13,52,33
13,52,34
13,52,35
13,52,38
13,52,39
13,52,40
13,52,41
13,52,42
13,52,43
13,52,44
13,52,45
13,52,46
13,53,34
13,53,35
13,53,37
13,53,38
13,53,39
13,53,40
13,53,41
13,53,42
13,53,43
13,53,44
13,53,45
13,53,46
13,54,34
13,54,35
13,54,36
13,54,37
13,54,38
13,54,39
13,54,40
13,54,41
13,54,42
13,54,43
13,54,44
13,54,45
13,54,46
13,55,35
13,55,36
13,55,37
13,55,38
13,55,39
13,55,40
13,55,41
13,55,42
13,55,43
13,55,44
13,56,38
13,56,39
13,56,40
13,56,41
13,56,42
13,56,43
13,57,38
13,57,39
13,57,40
13,57,41
13,57,42
13,57,43
13,58,38
13,58,39
13,58,40
13,58,41
13,58,42
13,59,36
13,59,37
13,59,38
13,59,39
13,60,37
13,60,38
14,38,38
14,38,39
14,39,37
14,39,38
14,39,39
14,39,40
14,39,41
14,39,42
14,39,48
14,40,37
14,40,38
14,40,39
14,40,40
14,40,41
14,40,42
14,40,43
14,40,47
14,40,48
14,40,49
14,40,50
14,40,53
14,40,54
14,40,55
14,41,36
14,41,37
14,41,38
14,41,39
14,41,40
14,41,41
14,41,42
14,41,43
14,41,44
14,41,45
14,41,46
14,41,47
14,41,48
14,41,49
14,41,50
14,41,51
14,41,52
14,41,53
14,41,54
14,41,55
14,41,56
14,42,36
14,42,37
14,42,38
14,42,39
14,42,40
14,42,41
14,42,42
14,42,43
14,42,44
14,42,45
14,42,46
14,42,47
14,42,48
14,42,49
14,42,50
14,42,51
14,42,52
14,42,53
14,42,54
14,42,55
14,42,56
14,42,57
14,43,35
14,43,36
14,43,37
14,43,38
14,43,39
14,43,40
14,43,41
14,43,42
14,43,43
14,43,44
14,43,45
14,43,46
14,43,47
14,43,48
14,43,49
14,43,50
14,43,51
14,43,52
14,43,53
14,43,54
14,43,55
14,43,56
14,43,57
14,44,35
14,44,36
14,44,37
14,44,38
14,44,39
14,44,40
14,44,41
14,44,42
14,44,43
14,44,44
14,44,45
14,44,46
14,44,47
14,44,48
14,44,49
14,44,50
14,44,51
14,44,52
14,44,53
14,44,57
14,45,34
14,45,35
14,45,36
14,45,37
14,45,38
14,45,39
14,45,40
14,45,41
14,45,42
14,45,43
14,45,44
14,45,45
14,45,46
14,45,47
14,45,48
14,45,49
14,45,50
14,45,51
14,45,52
14,45,53
14,45,54
14,45,55
14,45,56
14,45,57
14,46,34
14,46,35
14,46,36
14,46,37
14,46,38
14,46,39
14,46,40
14,46,41
14,46,42
14,46,43
14,46,44
14,46,45
14,46,46
14,46,47
14,46,48
14,46,49
14,46,50
14,46,51
14,46,52
14,46,53
14,46,54
14,46,55
14,46,56
14,46,57
14,47,33
14,47,34
14,47,35
14,47,36
14,47,37
14,47,38
14,47,39
14,47,40
14,47,41
14,47,42
14,47,43
14,47,44
14,47,45
14,47,46
14,47,47
14,47,48
14,47,49
14,47,50
14,47,51
14,47,55
14,47,56
14,47,57
14,48,33
14,48,34
14,48,35
14,48,36
14,48,37
14,48,38
14,48,39
14,48,40
14,48,41
14,48,42
14,48,43
14,48,44
14,48,45
14,48,46
14,48,47
14,48,48
14,48,49
14,48,50
14,49,32
14,49,33
14,49,34
14,49,35
14,49,36
14,49,37
14,49,38
14,49,39
14,49,40
14,49,41
14,49,42
14,49,43
14,49,44
14,49,45
14,50,32
14,50,33
14,50,34
14,50,35
14,50,36
14,50,37
14,50,38
14,50,39
14,50,40
14,50,41
14,50,42
14,50,43
14,50,44
14,51,32
14,51,33
14,51,34
14,51,35
14,51,36
14,51,37
14,51,38
14,51,39
14,51,40
14,51,41
14,51,42
14,51,43
14,51,44
14,52,34
14,52,38
14,52,39
14,52,40
14,52,41
14,52,42
14,52,43
14,52,44
14,52,45
14,53,37
14,53,38
14,53,39
14,53,40
14,53,41
14,53,42
14,53,43
14,53,44
14,53,45
14,53,46
14,53,47
14,54,35
14,54,36
14,54,37
14,54,38
14,54,39
14,54,40
14,54,41
14,54,42
14,54,43
14,54,44
14,54,45
14,54,46
14,55,35
14,55,36
14,55,37
14,55,38
14,55,39
14,55,40
14,55,41
14,55,42
14,55,43
14,56,38
14,56,39
14,56,40
14,56,41
14,56,42
14,56,43
14,57,38
14,57,39
14,57,40
14,57,41
14,57,42
14,58,38
14,58,39
14,58,40
14,58,41
14,58,42
14,59,37
14,59,38
14,59,39
14,66,34
14,66,35
14,66,36
14,67,34
14,67,35
14,67,36
14,67,37
14,68,34
14,68,35
14,68,36
14,68,37
14,68,45
14,68,46
14,69,36
14,69,37
14,69,45
15,36,38
15,36,39
15,37,37
15,37,38
15,37,39
15,38,37
15,38,38
15,38,39
15,38,40
15,39,37
15,39,38
15,39,39
15,39,40
15,39,41
15,39,42
15,39,48
15,39,49
15,39,54
15,40,37
15,40,38
15,40,39
15,40,40
15,40,41
15,40,42
15,40,47
15,40,48
15,40,49
15,40,50
15,40,51
15,40,52
15,40,53
15,40,54
15,40,55
15,40,56
15,41,36
15,41,37
15,41,38
15,41,39
15,41,40
15,41,41
15,41,42
15,41,43
15,41,44
15,41,45
15,41,46
15,41,47
15,41,48
15,41,49
15,41,50
15,41,51
15,41,52
15,41,53
15,41,54
15,41,55
15,41,56
15,42,36
15,42,37
15,42,38
15,42,39
15,42,40
15,42,41
15,42,42
15,42,43
15,42,44
15,42,45
15,42,46
15,42,47
15,42,48
15,42,49
15,42,50
15,42,51
15,42,52
15,42,53
15,42,54
15,42,55
15,43,35
15,43,36
15,43,37
15,43,38
15,43,39
