x,y,z
8,48,15
3,40,16
3,41,16
3,42,16
8,48,16
6,49,16
7,49,16
8,49,16
7,50,16
2,41,17
3,41,17
4,41,17
3,42,17
4,42,17
3,43,17
9,43,17
5,44,17
6,44,17
7,44,17
9,44,17
5,48,17
6,49,17
7,49,17
4,39,18
4,40,18
3,41,18
4,41,18
5,41,18
6,41,18
3,42,18
4,42,18
5,42,18
6,42,18
9,42,18
10,42,18
4,43,18
5,43,18
6,43,18
7,43,18
8,43,18
9,43,18
10,43,18
11,43,18
5,44,18
6,44,18
7,44,18
8,44,18
9,44,18
10,44,18
4,45,18
5,45,18
6,45,18
7,45,18
8,45,18
4,46,18
5,46,18
6,46,18
5,47,18
6,47,18
11,33,19
11,34,19
10,35,19
9,36,19
5,38,19
4,39,19
5,39,19
10,39,19
4,40,19
5,40,19
6,40,19
7,40,19
8,40,19
9,40,19
10,40,19
2,41,19
3,41,19
4,41,19
5,41,19
6,41,19
7,41,19
9,41,19
3,42,19
4,42,19
5,42,19
6,42,19
9,42,19
10,42,19
4,43,19
5,43,19
6,43,19
7,43,19
8,43,19
9,43,19
10,43,19
11,43,19
5,44,19
6,44,19
7,44,19
8,44,19
9,44,19
10,44,19
5,45,19
6,45,19
7,45,19
8,45,19
5,46,19
6,46,19
7,46,19
12,33,20
13,33,20
14,33,20
14,34,20
9,35,20
7,36,20
8,36,20
9,36,20
9,37,20
10,37,20
5,38,20
3,39,20
4,39,20
5,39,20
10,39,20
3,40,20
4,40,20
5,40,20
2,41,20
4,41,20
4,42,20
5,42,20
9,43,20
10,43,20
9,44,20
5,46,20
5,47,20
11,32,21
8,35,21
9,35,21
4,36,21
5,36,21
6,36,21
7,36,21
8,36,21
9,36,21
4,37,21
5,37,21
6,37,21
4,38,21
5,38,21
3,39,21
4,39,21
5,39,21
3,40,21
4,40,21
5,40,21
3,41,21
4,41,21
4,36,22
5,36,22
4,37,22
5,37,22
6,37,22
5,38,22
4,40,22
4,41,22
5,41,22
