x,y,z
13,14,11
13,13,12
15,8,13
16,8,13
14,9,13
15,9,13
13,10,13
14,10,13
13,11,13
12,12,13
13,9,14
14,9,14
15,9,14
13,10,14
14,10,14
12,11,14
13,11,14
12,12,14
11,13,14
12,13,14
13,8,15
14,8,15
15,8,15
13,9,15
14,9,15
15,9,15
12,10,15
13,10,15
14,10,15
12,11,15
13,11,15
11,12,15
12,12,15
13,12,15
11,13,15
12,13,15
13,13,15
11,14,15
12,14,15
13,14,15
16,7,16
13,8,16
14,8,16
15,8,16
13,9,16
14,9,16
15,9,16
12,10,16
13,10,16
14,10,16
11,11,16
12,11,16
13,11,16
11,12,16
12,12,16
13,12,16
10,13,16
11,13,16
12,13,16
13,13,16
14,13,16
11,14,16
12,14,16
13,14,16
16,6,17
13,9,17
14,9,17
12,10,17
13,10,17
14,10,17
11,11,17
12,11,17
13,11,17
10,12,17
11,12,17
12,12,17
13,12,17
14,12,17
10,13,17
11,13,17
12,13,17
13,13,17
14,13,17
11,14,17
12,14,17
16,6,18
11,11,18
12,11,18
10,12,18
11,12,18
12,12,18
10,13,18
11,13,18
10,14,18
19,4,19
17,5,19
10,12,19
9,13,19
10,13,19
9,14,19
10,14,19
19,4,20
17,5,20
18,5,20
10,12,20
9,13,20
10,13,20
9,14,20
19,4,21
