x,y,z
36,26,28
37,26,28
38,26,28
38,27,28
34,25,29
35,25,29
36,25,29
37,25,29
38,25,29
35,26,29
36,26,29
37,26,29
38,26,29
37,27,29
38,27,29
34,25,30
35,25,30
36,25,30
37,25,30
38,25,30
34,26,30
35,26,30
36,26,30
37,26,30
38,26,30
36,27,30
37,27,30
38,27,30
37,28,30
38,28,30
33,23,31
33,24,31
34,24,31
35,24,31
36,24,31
37,24,31
33,25,31
34,25,31
35,25,31
36,25,31
37,25,31
38,25,31
33,26,31
34,26,31
35,26,31
36,26,31
37,26,31
38,26,31
33,27,31
34,27,31
35,27,31
36,27,31
37,27,31
38,27,31
36,28,31
37,28,31
32,23,32
33,23,32
34,23,32
32,24,32
33,24,32
34,24,32
35,24,32
36,24,32
37,24,32
33,25,32
34,25,32
35,25,32
36,25,32
37,25,32
33,26,32
34,26,32
35,26,32
36,26,32
37,26,32
32,27,32
33,27,32
34,27,32
35,27,32
36,27,32
37,27,32
32,28,32
33,28,32
34,28,32
37,28,32
32,21,33
32,22,33
33,22,33
34,22,33
32,23,33
33,23,33
34,23,33
35,23,33
36,23,33
32,24,33
33,24,33
34,24,33
35,24,33
36,24,33
33,25,33
34,25,33
35,25,33
36,25,33
33,26,33
34,26,33
35,26,33
36,26,33
32,27,33
33,27,33
34,27,33
36,27,33
32,28,33
33,28,33
34,28,33
35,28,33
36,28,33
31,29,33
32,29,33
33,29,33
34,29,33
32,21,34
33,21,34
32,22,34
33,22,34
34,22,34
35,22,34
33,23,34
34,23,34
35,23,34
33,24,34
34,24,34
35,24,34
32,27,34
33,27,34
31,28,34
32,28,34
33,28,34
34,28,34
30,29,34
31,29,34
32,29,34
33,29,34
34,29,34
35,29,34
33,21,35
34,21,35
33,22,35
34,22,35
33,23,35
34,23,35
32,27,35
31,28,35
32,28,35
33,28,35
32,29,35
33,29,35
33,22,36
32,27,36
32,28,36
